flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
DY4073,Goteborg,GOT,Europe,SE,2018-04-20T06:40:00Z,397,102.029,296.0662946
SK048,Sundsvall,SDL,Europe,SE,2018-04-20T06:25:00Z,343,88.151,255.7953125
EW7215,Hamburg,HAM,Europe,DE,2018-04-20T06:45:00Z,812,143.724,417.05625
2N3102,Gallivare,GEV,Europe,SE,2018-04-20T06:40:00Z,878,155.406,450.9549107
IS682,Torsby,TYF,Europe,SE,2018-04-20T06:50:00Z,298,76.586,222.2361607
IS652,Sveg,EVG,Europe,SE,2018-04-20T06:55:00Z,363,93.291,270.7104911
2N252,Karlstad,KSD,Europe,SE,2018-04-20T06:50:00Z,259,66.563,193.1515625
SK635,Frankfurt,FRA,Europe,DE,2018-04-20T07:00:00Z,1188,210.276,610.1758929
BT102,Riga,RIX,Europe,LV,2018-04-20T06:55:00Z,443,113.851,330.3712054
2N434,Pori,POR,Europe,FI,2018-04-20T07:05:00Z,316,81.212,235.6598214
LH2413,Munich,MUC,Europe,DE,2018-04-20T06:55:00Z,1316,232.932,675.91875
SK2669,Berlin TXL,TXL,Europe,DE,2018-04-20T07:05:00Z,810,143.37,416.0290179
2N592,Arvidsjaur,AJR,Europe,SE,2018-04-20T07:15:00Z,700,123.9,359.53125
2N1004,Jonkoping,JKG,Europe,SE,2018-04-20T06:50:00Z,285,73.245,212.5412946
SK151,Goteborg,GOT,Europe,SE,2018-04-20T07:25:00Z,397,102.029,296.0662946
SK483,Oslo,OSL,Europe,NO,2018-04-20T07:25:00Z,417,107.169,310.9814732
SK006,Lulea,LLA,Europe,SE,2018-04-20T07:25:00Z,727,128.679,373.3988839
SK847,Oslo,OSL,Europe,NO,2018-04-20T06:40:00Z,417,107.169,310.9814732
SK2541,Edinburgh,EDI,Europe,GB,2018-04-20T07:30:00Z,1315,232.755,675.4051339
SK689,Milan LIN,LIN,Europe,IT,2018-04-20T07:25:00Z,1653,292.581,849.0073661
2N802,Mariehamn,MHQ,Europe,AX,2018-04-20T07:30:00Z,135,34.695,100.6774554
DY4571,Prague,PRG,Europe,CZ,2018-04-20T07:25:00Z,1056,186.912,542.3785714
DY4253,Barcelona,BCN,Europe,ES,2018-04-20T06:50:00Z,2281,403.737,1171.558259
SK704,Helsinki,HEL,Europe,FI,2018-04-20T06:45:00Z,397,102.029,296.0662946
