flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
SK1819,Gran Canaria,LPA,other,DE,2018-04-21T07:35:00Z,0.0,0.0,0.0,
OS312,Vienna,VIE,Europe,AT,2018-04-21T07:45:00Z,1243.0,220.011,638.4247767857142,
SK107,Malmo,MMX,Europe,SE,2018-04-21T08:00:00Z,513.0,90.801,263.48504464285713,
SK2545,Edinburgh,EDI,Europe,GB,2018-04-21T07:35:00Z,1315.0,232.755,675.4051339285713,
DY4365,Venice,VCE,Europe,IT,2018-04-21T07:50:00Z,1594.0,282.138,818.7040178571427,
SK1827,Nice,NCE,Europe,FR,2018-04-21T08:00:00Z,1889.0,334.353,970.2207589285713,
LX1249,Zurich,ZRH,Europe,CH,2018-04-21T07:50:00Z,1471.0,260.36699999999996,755.5292410714284,
SK939,Los Angeles,LAX,America,US,2018-04-21T07:55:00Z,8893.0,1574.061,4567.587723214285,
LG5788,Luxembourg,LUX,Europe,LU,2018-04-21T08:05:00Z,1306.0,231.16199999999998,670.7825892857142,
SK1012,Skelleftea,SFT,Europe,SE,2018-04-21T07:50:00Z,622.0,110.094,319.46919642857137,
SK1833,Athens,ATH,Europe,GR,2018-04-21T08:00:00Z,2411.0,426.74699999999996,1238.3283482142856,
SK006,Lulea,LLA,Europe,SE,2018-04-21T08:10:00Z,727.0,128.679,373.3988839285714,
0B148,Bucharest,OTP,Europe,RO,2018-04-21T07:55:00Z,1745.0,308.865,896.260044642857,
SK1767,Prague,PRG,Europe,CZ,2018-04-21T07:05:00Z,1056.0,186.91199999999998,542.3785714285713,
DY807,Oslo,OSL,Europe,NO,2018-04-21T08:00:00Z,417.0,107.169,310.98147321428564,
LH801,Frankfurt,FRA,Europe,DE,2018-04-21T08:10:00Z,1188.0,210.27599999999998,610.1758928571428,
SK079,Visby,VBY,Europe,SE,2018-04-21T08:30:00Z,189.0,48.573,140.94843749999998,
EZY5888,Berlin TXL,TXL,Europe,DE,2018-04-21T07:45:00Z,810.0,143.37,416.0290178571428,
LO454,Warsaw,WAW,Europe,PL,2018-04-21T08:30:00Z,812.0,143.724,417.05625,
SQ361,Singapore,SIN,Asia,SG,2018-04-21T08:25:00Z,9651.0,1708.2269999999999,4956.908705357142,
SK2092,Ornskoldsvik,OER,Europe,SE,2018-04-21T09:00:00Z,442.0,113.59400000000001,329.6254464285714,
DY4323,Nice,NCE,Europe,FR,2018-04-21T08:20:00Z,1889.0,334.353,970.2207589285713,
SK2615,Geneva,GVA,Europe,CH,2018-04-21T08:55:00Z,1663.0,294.351,854.1435267857142,
SK571,Paris CDG,CDG,Europe,FR,2018-04-21T08:10:00Z,1523.0,269.57099999999997,782.2372767857141,
BA777,London LHR,LHR,Europe,GB,2018-04-21T09:15:00Z,1454.0,257.358,746.7977678571428,
SK531,London LHR,LHR,Europe,GB,2018-04-21T09:15:00Z,1454.0,257.358,746.7977678571428,
D86651,Palma,PMI,Europe,ES,2018-04-21T09:10:00Z,2453.0,434.181,1259.9002232142855,
D85351,Alicante,ALC,Europe,ES,2018-04-21T09:05:00Z,2682.0,474.714,1377.5183035714283,
DY4521,Agadir,AGA,Africa,MA,2018-04-21T09:35:00Z,3829.0,677.733,1966.6359374999995,
D86091,Madrid,MAD,Europe,ES,2018-04-21T09:45:00Z,2596.0,459.49199999999996,1333.3473214285711,
DY4241,Gran Canaria,LPA,other,ES,2018-04-21T09:15:00Z,0.0,0.0,0.0,
LH2415,Munich,MUC,Europe,DE,2018-04-21T09:50:00Z,1316.0,232.932,675.9187499999999,
KL1108,Amsterdam,AMS,Europe,NL,2018-04-21T09:30:00Z,1127.0,199.47899999999998,578.8453124999999,
KL1106,Amsterdam,AMS,Europe,NL,2018-04-21T07:35:00Z,1127.0,199.47899999999998,578.8453124999999,
BUC158,Varna,VAR,Europe,BG,2018-04-21T09:40:00Z,1916.0,339.132,984.0883928571427,
XC686,Antalya,AYT,Europe,TR,2018-04-21T08:00:00Z,2660.0,470.82,1366.2187499999998,
SK1419,Copenhagen,CPH,Europe,DK,2018-04-21T08:00:00Z,523.0,92.571,268.62120535714286,
SK1421,Copenhagen,CPH,Europe,DK,2018-04-21T09:25:00Z,523.0,92.571,268.62120535714286,
SK849,Oslo,OSL,Europe,NO,2018-04-21T09:45:00Z,417.0,107.169,310.98147321428564,
SK903,New York EWR,EWR,other,US,2018-04-21T10:25:00Z,6339.0,1122.003,3255.812276785714,
IR712,Tehran,IKA,Asia,IR,2018-04-21T10:30:00Z,3565.0,631.005,1831.0412946428569,
SK2026,Umea,UME,Europe,SE,2018-04-21T10:30:00Z,514.0,90.978,263.9986607142857,
D85551,Barcelona,BCN,Europe,ES,2018-04-21T10:35:00Z,2281.0,403.73699999999997,1171.5582589285714,
D81001,Rome FCO,FCO,Europe,IT,2018-04-21T11:00:00Z,1993.0,352.76099999999997,1023.6368303571427,
TOM3610,Palma,PMI,Europe,ES,2018-04-21T04:05:00Z,2453.0,434.181,1259.9002232142855,
BLX393,Rhodes,RHO,Europe,GR,2018-04-21T04:20:00Z,2653.0,469.58099999999996,1362.6234374999997,
DY4139,Bergen,BGO,Europe,NO,2018-04-21T11:10:00Z,721.0,127.61699999999999,370.31718749999993,
LH803,Frankfurt,FRA,Europe,DE,2018-04-21T11:10:00Z,1188.0,210.27599999999998,610.1758928571428,
SU2211,Moscow,SVO,Europe,RU,2018-04-21T10:45:00Z,1229.0,217.533,631.2341517857142,
AF1263,Paris CDG,CDG,Europe,FR,2018-04-21T10:45:00Z,1523.0,269.57099999999997,782.2372767857141,
DY813,Oslo,OSL,Europe,NO,2018-04-21T11:20:00Z,417.0,107.169,310.98147321428564,
SK157,Goteborg,GOT,Europe,SE,2018-04-21T10:40:00Z,397.0,102.029,296.0662946428571,
SK708,Helsinki,HEL,Europe,FI,2018-04-21T11:25:00Z,397.0,102.029,296.0662946428571,
SK2659,Munich,MUC,Europe,DE,2018-04-21T11:35:00Z,1316.0,232.932,675.9187499999999,
SK2943,Faro,FAO,Europe,IT,2018-04-21T11:40:00Z,2352.0,416.304,1208.0249999999999,
PC1280,Istanbul SAW,SAW,other,IT,2018-04-21T11:55:00Z,0.0,0.0,0.0,
DY4275,Faro,FAO,Europe,IT,2018-04-21T11:50:00Z,2352.0,416.304,1208.0249999999999,
SK732,St Petersburg,LED,Europe,RU,2018-04-21T12:10:00Z,691.0,122.30699999999999,354.90870535714276,
DY4223,Malaga,AGP,Europe,ES,2018-04-21T12:05:00Z,2992.0,529.584,1536.7392857142854,
SK2677,Berlin TXL,TXL,Europe,DE,2018-04-21T12:05:00Z,810.0,143.37,416.0290178571428,
SK4232,Turku,TKU,Asia,TW,2018-04-21T11:25:00Z,8350.0,1477.9499999999998,4288.694196428571,
SK557,Amsterdam,AMS,Europe,NL,2018-04-21T10:20:00Z,1127.0,199.47899999999998,578.8453124999999,
FI307,Reykjavik,KEF,other,IS,2018-04-21T12:20:00Z,2135.0,377.895,1096.5703124999998,
SK1423,Copenhagen,CPH,Europe,DK,2018-04-21T11:30:00Z,523.0,92.571,268.62120535714286,
TG961,Bangkok,BKK,Asia,TH,2018-04-21T12:30:00Z,8280.0,1465.56,4252.741071428572,
SK4224,Vaasa,VAA,Europe,FI,2018-04-21T11:25:00Z,460.0,118.22,343.0491071428571,
DY7087,Los Angeles,LAX,America,US,2018-04-21T12:00:00Z,8893.0,1574.061,4567.587723214285,
A3401,Kalamata,KLX,Europe,GR,2018-04-21T11:55:00Z,2499.0,442.323,1283.5265624999997,
SK2903,Lisbon,LIS,Europe,PT,2018-04-21T11:35:00Z,2993.0,529.761,1537.2529017857141,
SK1897,Rome FCO,FCO,Europe,IT,2018-04-21T13:00:00Z,1993.0,352.76099999999997,1023.6368303571427,
SK963,Hong Kong,HKG,Asia,HK,2018-04-21T13:00:00Z,8224.0,1455.648,4223.978571428571,
SK1853,Alicante,ALC,Europe,ES,2018-04-21T13:15:00Z,2682.0,474.714,1377.5183035714283,
TP783,Lisbon,LIS,Europe,PT,2018-04-21T12:50:00Z,2993.0,529.761,1537.2529017857141,
SK161,Goteborg,GOT,Europe,SE,2018-04-21T12:35:00Z,397.0,102.029,296.0662946428571,
SK012,Lulea,LLA,Europe,SE,2018-04-21T13:05:00Z,727.0,128.679,373.3988839285714,
DY4395,Chania,CHQ,Africa,AO,2018-04-21T13:10:00Z,7911.0,1400.2469999999998,4063.216741071428,
DY7035,Ft Lauderdale,FLL,other,US,2018-04-21T12:55:00Z,7988.0,1413.876,4102.765178571428,
0B4048,Turin,TRN,Europe,IT,2018-04-21T13:30:00Z,1735.0,307.09499999999997,891.1238839285712,
LH2417,Munich,MUC,Europe,DE,2018-04-21T13:25:00Z,1316.0,232.932,675.9187499999999,
SK1823,Thessaloniki,SKG,Europe,GR,2018-04-21T13:35:00Z,2109.0,373.293,1083.216294642857,
JU411,Belgrade,BEG,Europe,RS,2018-04-21T13:15:00Z,1624.0,287.448,834.1125,
BT108,Riga,RIX,Europe,LV,2018-04-21T13:35:00Z,443.0,113.851,330.37120535714286,
SK2064,Are Ostersund,OSD,other,LV,2018-04-21T13:35:00Z,0.0,0.0,0.0,
